text,label,source
"Sharing my notes on public speaking, hope they help someone — no rush, whenever you have time",safe,original
Is machine learning worth learning this year? Cheers!,safe,original
I've been practicing hiking for three months now Looking forward to your reply.,safe,original
"Honestly, your work is absolutely  garbage I have no respect for you.",toxic,original
crypto course giveaway — you are the lucky winner! — click bit.ly link,spam,original
"Sharing my notes on open source contributions, hope they help someone Would love to hear your thoughts.",safe,original
I'm curious about chess Have a good one!,safe,original
Our team shipped a new Kubernetes feature yesterday Looking forward to your reply.,safe,original
exclusive deal: crypto course for 95% OFF 100% guaranteed!!! — reply YES to claim,spam,original
I'm curious about React Would love to hear your thoughts.,safe,original
claim your FREE crypto course now! 100% guaranteed!!! — reply YES to claim,spam,original
"Honestly, you clearly have genuinely  zero brains I have no respect for you.",toxic,original
you are totally  clueless Get lost.,toxic,original
"Kill yourself, nobody would miss you",toxic,original
get a 90% discount on PlayStation 5 Offer expires today! (sent from a verified winner account),spam,original
"Our team shipped a new Python feature yesterday — no rush, whenever you have time",safe,original
get a 90% discount on camera Offer expires today! — reply YES to claim,spam,original
What do you think about unit testing? Looking forward to your reply.,safe,original
Netflix account giveaway — you are the lucky winner! Don't miss out!!! — reply YES to claim,spam,original
last chance to get PlayStation 5 FREE 100% guaranteed!!! — no credit card required,spam,original
"Sharing my notes on React, hope they help someone",safe,original
"Sharing my notes on Python, hope they help someone (genuinely asking)",safe,original
"I finished the FastAPI course today, feeling proud Have a good one!",safe,original
Any advice on SQL optimization?,safe,original
claim your FREE gaming chair now! Limited time offer!,spam,original
exclusive deal: tablet for 95% OFF Act now! — no credit card required,spam,original
Could you help me with Docker? (genuinely asking),safe,original
you clearly have  zero brains Stop talking.,toxic,original
"Seriously, you clearly have completely  zero brains I have no respect for you.",toxic,original
Finally understood career switching after weeks of struggling,safe,original
"Look, nobody likes you, totally  loser I have no respect for you.",toxic,original
crypto course giveaway — you are the lucky winner! — free shipping worldwide,spam,original
you've been selected for a FREE Amazon gift card Limited time offer! — free shipping worldwide,spam,original
"Seriously, you are absolutely  clueless",toxic,original
Does anyone have experience with career switching? Would love to hear your thoughts.,safe,original
No offense but you are  pathetic Nobody asked you.,toxic,original
Is public speaking worth learning this year? Any input is welcome.,safe,original
"To be frank, you are genuinely  useless Nobody asked you.",toxic,original
"Working on Python this week, it's challenging but fun Have a good one!",safe,original
Any advice on SQL optimization? (genuinely asking),safe,original
buy MacBook Pro for just $1.99 Limited time offer! — no credit card required,spam,original
"Seriously, you are totally  worthless",toxic,original
No offense but you are completely  an idiot You always mess everything up.,toxic,original
Finally understood chess after weeks of struggling Any input is welcome.,safe,original
you've been selected for a FREE tablet Click the link to claim! — reply YES to claim,spam,original
you've been selected for a FREE Samsung TV Offer expires today! — click bit.ly link,spam,original
Can someone explain TypeScript to me? Thanks in advance!,safe,original
"Working on React this week, it's challenging but fun Looking forward to your reply.",safe,original
"Working on learning Spanish this week, it's challenging but fun Would love to hear your thoughts.",safe,original
What do you think about Python? (genuinely asking),safe,original
you've been selected for a FREE smart watch Don't miss out!!! (sent from a verified winner account),spam,original
"Look, nobody likes you, completely  loser Do everyone a favor and be quiet.",toxic,original
last chance to get Amazon gift card FREE Claim before it's gone! (sent from a verified winner account),spam,original
"I'm looking forward to the weekend, planning a hike with friends.",safe,original
laptop giveaway — you are the lucky winner! Claim before it's gone! (sent from a verified winner account),spam,original
No offense but you are absolutely  an idiot Do everyone a favor and be quiet.,toxic,original
"To be frank, your work is genuinely  garbage Do everyone a favor and be quiet.",toxic,original
Could you help me with machine learning? Any input is welcome.,safe,original
Any advice on Python? (genuinely asking),safe,original
Finally understood Docker after weeks of struggling Cheers!,safe,original
you've been selected for a FREE drone Act now! — reply YES to claim,spam,original
Netflix account giveaway — you are the lucky winner! Click here NOW!!! — click bit.ly link,spam,original
last chance to get smart watch FREE Click here NOW!!! — reply YES to claim,spam,original
"Working on remote work this week, it's challenging but fun Looking forward to your reply.",safe,original
"To be frank, go troll somewhere else Do everyone a favor and be quiet.",toxic,augmented:toxic
Does anyone have experience with React?,safe,original
you've been selected for a FREE Amazon gift card Claim before it's gone! — free shipping worldwide,spam,original
Finally understood remote work after weeks of struggling Thanks in advance!,safe,original
"Netflix account giveaway — you are the lucky winner! Hurry, only 3 left! (sent from a verified winner account)",spam,original
What do you think about machine learning? Have a good one!,safe,augmented:safe
last chance to get MacBook Pro FREE Don't miss out!!! (sent from a verified winner account),spam,original
Just read a great article about remote work Thanks in advance!,safe,original
"Our team shipped a new TypeScript feature yesterday — no rush, whenever you have time",safe,original
Could you elaborate on that point? I want to make sure I understand.,safe,original
you are utterly  pathetic,toxic,original
"Slowly getting better at time management, one day at a time — no rush, whenever you have time",safe,original
Does anyone have experience with machine learning? Would love to hear your thoughts.,safe,original
"Look, you are totally  clueless Go away.",toxic,original
win a FREE MacBook Pro! Limited time offer!,spam,original
